No,Ligand Name,Canonical SMILES,InChIKey,DOI or link to data source,Albumin source organism,"Albumin concentration, μM",Albumin modifications,"Ligand concentration, μM",pH,Buffer,"Buffer concentration, M","Temperature, K",Method,Method details,Model,Ka in M scale,Kd in M scale,n,"ΔH, kJ/mol",Ka2,Kd2,n2,ΔH2,Tag,Ligand ChEMBL ID,Assay ChEMBL ID or BindingDB Ref
1560,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1007/s10953-011-9747-6,Bos taurus,10,,0-20,7.4,"Tris-HCl, 0.15 M NaCl",0.05,296,Fluorescence spectroscopy,λex 295nm,Stern-Volmer,8.15E+04,,,,,,,,,,
1561,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1007/s10953-011-9747-6,Bos taurus,10,,0-20,7.4,"Tris-HCl, 0.15 M NaCl",0.05,303,Fluorescence spectroscopy,λex 295nm,Stern-Volmer,7.60E+04,,,,,,,,,,
1562,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1007/s10953-011-9747-6,Bos taurus,10,,0-20,7.4,"Tris-HCl, 0.15 M NaCl",0.05,310,Fluorescence spectroscopy,λex 295nm,Stern-Volmer,7.11E+04,,,,,,,,,,
1563,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1117/1.JBO.22.3.037002,Bos taurus,4.5,,0-128,7.4,Phosphate,,298,Surface plasmon resonance,,,,1.50E-05,,43.1,,,,,,,
1564,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1117/1.JBO.22.3.037002,Bos taurus,4.5,,0-128,7.4,Phosphate,,303,Surface plasmon resonance,,,,1.90E-05,,,,,,,,,
1565,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1117/1.JBO.22.3.037002,Bos taurus,4.5,,0-128,7.4,Phosphate,,308,Surface plasmon resonance,,,,2.50E-05,,,,,,,,,
1566,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1117/1.JBO.22.3.037002,Bos taurus,4.5,,0-128,7.4,Phosphate,,313,Surface plasmon resonance,,,,3.46E-05,,,,,,,,,
1567,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1007/s00775-010-0706-2,Homo sapiens,5,,0-200,7.2,Phosphate,0.1,293,Fluorescence spectroscopy,,,,1.30E-05,1,,,,,,,,
1568,Rifampin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2c(O)c(/C=N/N4CCN(CC4)C)c(c(c2c(c3C)O)O)NC(=O)/C(=C\C=C\[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,10.1016/S0731-7085(02)00223-6,Homo sapiens,0-400,,50,7.4,Phosphate (DPBS),0.0095,298,Pressure-assisted capillary electrophoresis/frontal analysis ,,,2.97E+03,,,,,,,,,,
1569,Ritonavir,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)NC(=O)N(Cc1csc(n1)C(C)C)C)O)Cc1ccccc1)OCc1cncs1,NCDNCNXCDXHOMX-XGKFQTDJSA-N,10.1021/jm049343o,Homo sapiens,,,30,,,,,Surface plasmon resonance,,,,6.40E-05,,,,1.89E-04,,,CHEMBL,CHEMBL163,CHEMBL828328
1570,Saquinavir,NC(=O)C[C@@H](C(=O)N[C@H]([C@@H](CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O)Cc1ccccc1)NC(=O)c1ccc2c(n1)cccc2,QWAXKHKRTORLEM-UGJKXSETSA-N,10.1021/jm049343o,Homo sapiens,,,30,,,,,Surface plasmon resonance,,,,3.40E-05,,,,3.01E-04,,,CHEMBL,CHEMBL114,CHEMBL828328
1571,Sodium 1-Hydroxy-3-Oxodecane-1-Sulfonate,CCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],DDTYGSFFPMMHFL-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Double logarithmic plot,691830000,,1.84,,,,,,CHEMBL,CHEMBL2261216,CHEMBL3054629
1572,Sodium 1-Hydroxy-3-Oxodecane-1-Sulfonate,CCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],DDTYGSFFPMMHFL-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Stern-Volmer,381300,,,,,,,,CHEMBL,CHEMBL2261216,CHEMBL3054629
1573,Sodium 1-Hydroxy-3-Oxodecane-1-Sulfonate,CCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],DDTYGSFFPMMHFL-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,310,Fluorescence spectroscopy,,Stern-Volmer,529200,,,,,,,,CHEMBL,CHEMBL2261216,CHEMBL3054628
1574,Sodium 1-Hydroxy-3-Oxododecane-1-Sulfonate,CCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],HPPWMWCITPGPKK-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Double logarithmic plot,84610000,,1.79,,,,,,CHEMBL,CHEMBL488943,CHEMBL3054629
1575,Sodium 1-Hydroxy-3-Oxododecane-1-Sulfonate,CCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],HPPWMWCITPGPKK-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Stern-Volmer,217300,,,,,,,,CHEMBL,CHEMBL488943,CHEMBL3054629
1576,Sodium 1-Hydroxy-3-Oxododecane-1-Sulfonate,CCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],HPPWMWCITPGPKK-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,310,Fluorescence spectroscopy,,Stern-Volmer,113000,,,,,,,,CHEMBL,CHEMBL488943,CHEMBL3054628
1577,Sodium 1-Hydroxy-3-Oxohexadecane-1-Sulfonate,CCCCCCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],JTGQRRSKFSMVSQ-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Double logarithmic plot,1360500000,,2.22,,,,,,CHEMBL,CHEMBL2261218,CHEMBL3054629
1578,Sodium 1-Hydroxy-3-Oxohexadecane-1-Sulfonate,CCCCCCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],JTGQRRSKFSMVSQ-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Stern-Volmer,121700,,,,,,,,CHEMBL,CHEMBL2261218,CHEMBL3054629
1579,Sodium 1-Hydroxy-3-Oxohexadecane-1-Sulfonate,CCCCCCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],JTGQRRSKFSMVSQ-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,310,Fluorescence spectroscopy,,Stern-Volmer,93200,,,,,,,,CHEMBL,CHEMBL2261218,CHEMBL3054628
1580,Sodium 1-Hydroxy-3-Oxooctane-1-Sulfonate,CCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],ADMQBOGJUJLIOE-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Double logarithmic plot,6708000,,1.53,,,,,,CHEMBL,CHEMBL2261215,CHEMBL3054629
1581,Sodium 1-Hydroxy-3-Oxooctane-1-Sulfonate,CCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],ADMQBOGJUJLIOE-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Stern-Volmer,36700,,,,,,,,CHEMBL,CHEMBL2261215,CHEMBL3054629
1582,Sodium 1-Hydroxy-3-Oxooctane-1-Sulfonate,CCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],ADMQBOGJUJLIOE-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,310,Fluorescence spectroscopy,,Stern-Volmer,73500,,,,,,,,CHEMBL,CHEMBL2261215,CHEMBL3054628
1583,Sodium 1-Hydroxy-3-Oxotetradecane-1-Sulfonate,CCCCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],WEFFNAOSGJCISM-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Double logarithmic plot,197000,,1.16,,,,,,CHEMBL,CHEMBL2261217,CHEMBL3054629
1584,Sodium 1-Hydroxy-3-Oxotetradecane-1-Sulfonate,CCCCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],WEFFNAOSGJCISM-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,298,Fluorescence spectroscopy,,Stern-Volmer,147900,,,,,,,,CHEMBL,CHEMBL2261217,CHEMBL3054629
1585,Sodium 1-Hydroxy-3-Oxotetradecane-1-Sulfonate,CCCCCCCCCCCC(=O)CC(S(=O)(=O)[O-])O.[Na+],WEFFNAOSGJCISM-UHFFFAOYSA-M,10.1007/s00044-009-9270-0,Bos taurus,5,,25-250,8,Tris,,310,Fluorescence spectroscopy,,Stern-Volmer,72000,,,,,,,,CHEMBL,CHEMBL2261217,CHEMBL3054628
1586,Sodium 3-Hydroxy-4-Oxo-2-Phenylbenzo[G]Chromene-9-Sulfonate,Oc1c(oc2c(c1=O)cc1c(c2)c(ccc1)S(=O)(=O)[O-])c1ccccc1.[Na+],JBOFVVWXUGBCAL-UHFFFAOYSA-M,10.1021/acs.jmedchem.9b01254,Bos taurus,,,,7.4,TRIS,,295,Fluorescence spectroscopy,,Stern-Volmer,410000,,,,,,,,CHEMBL,CHEMBL4548775,CHEMBL4416234
1587,Spironolactone,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]2[C@@H]1[C@@H]1CC[C@]3([C@]1(CC2)C)CCC(=O)O3)C,LXMSZDCAJNLERA-ZHYRCANASA-N,10.1002/jps.2600650919,Homo sapiens,351.4,,16-400,7.4,Phosphate,,,Ultrafiltration,,Scatchard,4.23E+04,,0.47,,,,,,,,
1588,Sulfaethidole,CCc1nnc(s1)NS(=O)(=O)c1ccc(cc1)N,SVYBEBLNQGDRHF-UHFFFAOYSA-N,10.1021/jm00213a022,Bos taurus,14.5-21.1,,14.5,7.44,"Phosphate, NaCl",0.054,298,Circular dichroism,,,210000,,,,,,,,CHEMBL,CHEMBL1355299,CHEMBL3279834
1589,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.saa.2015.01.127,Bos taurus,20,,0-100,7.4,Phosphate,,300,Fluorescence spectroscopy,λex 280nm,Double logarithmic plot,9.11E+03,,1.03,,,,,,,,
1590,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.saa.2015.01.127,Bos taurus,20,,0-100,7.4,Phosphate,,300,Fluorescence spectroscopy,λex 280nm,Stern-Volmer,7.60E+03,,,,,,,,,,
1591,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1248/cpb.26.3572,Bos taurus,150,,0-5000,7.4,Phosphate,,310,Equilibrium dialysis,,Double reciprocal plot,3000,,2.1,,,,,,,,
1592,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.15171/apb.2016.073,Bos taurus,20,,0.5-10,7.4,Phosphate,,,Equilibrium dialysis,,Scatchard,29000000,,0.7,,1.13E+06,,3.45,,,,
1593,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.jpha.2015.01.003,Homo sapiens,5,,0-60,7.4,"Phosphate, 0.15 M",0.1,288,Fluorescence spectroscopy,λex 280nm,Double logarithmic plot,2.25E+04,,1.04,-36,,,,,,,
1594,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.jpha.2015.01.003,Homo sapiens,5,,0-60,7.4,"Phosphate, 0.15 M",0.1,298,Fluorescence spectroscopy,λex 280nm,Double logarithmic plot,1.56E+04,,1.04,,,,,,,,
1595,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.jpha.2015.01.003,Homo sapiens,5,,0-60,7.4,"Phosphate, 0.15 M",0.1,308,Fluorescence spectroscopy,λex 280nm,Double logarithmic plot,8.50E+03,,1.02,,,,,,,,
1596,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.jpha.2015.01.003,Homo sapiens,5,,0-60,7.4,"Phosphate, 0.15 M",0.1,288,Fluorescence spectroscopy,λex 280nm,Stern-Volmer,1.44E+04,,,,,,,,,,
1597,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.jpha.2015.01.003,Homo sapiens,5,,0-60,7.4,"Phosphate, 0.15 M",0.1,298,Fluorescence spectroscopy,λex 280nm,Stern-Volmer,9.10E+03,,,,,,,,,,
1598,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.jpha.2015.01.003,Homo sapiens,5,,0-60,7.4,"Phosphate, 0.15 M",0.1,308,Fluorescence spectroscopy,λex 280nm,Stern-Volmer,5.80E+03,,,,,,,,,,
1599,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/j.jpha.2015.01.003,Homo sapiens,1,,0-200,7.4,"Phosphate, 0.15 M",0.1,288,Voltammetry,,Double logarithmic plot,8.80E+03,,0.967,,,,,,,,
1600,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/S0003-2670(96)00623-X,Homo sapiens,300,,0-400,7.4,Phosphate,0.067,310,Microdialysis,,Klotz,4.00E+03,,2.5,,,,,,,,
1601,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/S0003-2670(96)00623-X,Homo sapiens,300,,0-400,7.4,Phosphate,0.067,310,Microdialysis,,Langmuir equation,2.13E+03,,4.06,,,,,,,,
1602,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1016/S0003-2670(96)00623-X,Homo sapiens,300,,0-400,7.4,Phosphate,0.067,310,Microdialysis,,Scatchard,3.24E+03,,3.04,,,,,,,,
1603,Sulfamethoxazole,Nc1ccc(cc1)S(=O)(=O)Nc1noc(c1)C,JLKIGFTWXXRPMT-UHFFFAOYSA-N,10.1159/000136629,Homo sapiens,440,,0-2000,7.4,Phosphate (isotonic),,298,Equilibrium dialysis,,Scatchard,47200,,1.08,,1.80E+03,,4.35,,,,
1604,Tafamidis,Clc1cc(Cl)cc(c1)c1nc2c(o1)cc(cc2)C(=O)O,TXEIIPDJKFWEEC-UHFFFAOYSA-N,10.1021/acs.jmedchem.8b00817,Homo sapiens,2,,,7.4,"Phosphate, 100 mM KCl, 1 mM EDTA, 2.5% DMSO",,298,Isothermal titration calorimetry,,,,2.30E-06,,,,,,,BindingDB,CHEMBL2103837,51119604
1605,Tafamidis,Clc1cc(Cl)cc(c1)c1nc2c(o1)cc(cc2)C(=O)O,TXEIIPDJKFWEEC-UHFFFAOYSA-N,10.1021/acs.jmedchem.8b00817,Homo sapiens,2,,,7.4,"Phosphate, 100 mM KCl, 1 mM EDTA, 2.5% DMSO",,298,Isothermal titration calorimetry,,,,2.50E-06,,,,,,,BindingDB,CHEMBL2103837,51119605
1606,Tafenoquine,NCCCC(Nc1cc(OC)c(c2c1nc(OC)cc2C)Oc1cccc(c1)C(F)(F)F)C,LBHLFPGPEGDCJG-UHFFFAOYSA-N,10.1016/j.bmc.2008.01.053,Homo sapiens,,,,7.4,Ringer buffer,,310,Circular dichroism,,,24000,,,,,,,,CHEMBL,CHEMBL298470,CHEMBL936360
1607,Tafenoquine,NCCCC(Nc1cc(OC)c(c2c1nc(OC)cc2C)Oc1cccc(c1)C(F)(F)F)C,LBHLFPGPEGDCJG-UHFFFAOYSA-N,10.1016/j.bmc.2008.01.053,Homo sapiens,,,,7.4,Ringer buffer,,296,Fluorescence spectroscopy,,,300000,,,,,,,,CHEMBL,CHEMBL298470,CHEMBL936361
1608,Tamoxifen,CC/C(=C(\c1ccccc1)/c1ccc(cc1)OCCN(C)C)/c1ccccc1,NKANXQFJJICGDU-QPLCGJKRSA-N,10.1016/j.ejmech.2011.07.005,Bos taurus,25,,1-100,7.4,Tris-HCl,0.01,298,Fluorescence spectroscopy,,Double logarithmic plot,19600,,1.7,,,,,,CHEMBL,CHEMBL83,CHEMBL1837814
1609,Tamoxifen,CC/C(=C(\c1ccccc1)/c1ccc(cc1)OCCN(C)C)/c1ccccc1,NKANXQFJJICGDU-QPLCGJKRSA-N,10.1016/j.ejmech.2011.07.005,Bos taurus,25,,1-100,7.4,Tris-HCl,0.01,298,Fluorescence spectroscopy,,McGhee and von Hippel method,16500,,1.15,,,,,,CHEMBL,CHEMBL83,CHEMBL1837815
1610,Terbutaline,OC(c1cc(O)cc(c1)O)CNC(C)(C)C,XWTYSIMOBUGWOL-UHFFFAOYSA-N,10.1016/S0731-7085(03)00416-3,Bos taurus,10,,3-11,7.4,Phosphate,0.067,310,Microdialysis,,Klotz,3.85E+04,,1.12,,,,,,,,
1611,Terbutaline,OC(c1cc(O)cc(c1)O)CNC(C)(C)C,XWTYSIMOBUGWOL-UHFFFAOYSA-N,10.1016/S0731-7085(03)00416-3,Bos taurus,10,,3-11,7.4,Phosphate,0.067,310,Microdialysis,,Scatchard,4.11E+04,,1.06,,,,,,,,
1612,Thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1c(S2)cccc1,KLBQZWRITKRQQV-UHFFFAOYSA-N,10.1021/jm00213a022,Bos taurus,14.5-21.1,,14.5,7.44,"Phosphate, NaCl",0.054,298,Circular dichroism,,,141253.754462276,,,,,,,,CHEMBL,CHEMBL479,CHEMBL3279831
1613,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1002/jps.2600630416,Bos taurus,1.38,,0-10,7.4,Phosphate,0.05,298,Fluorescence spectroscopy,λex 3755nm,Klotz,9.04E+04,,2.9,,,,,,,,
1614,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1016/0006-2952(76)90365-8,Bos taurus,75,,,7.4,Phosphate,0.067,310,Dynamic dialysis,,,248200,,2.98,,3.39E+02,,8.12,,,,
1615,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1039/C5RA03839A,Bos taurus,,,0-50,,,,,Fluorescence spectroscopy,λex 280nm,Double logarithmic plot,1584.89319246112,,2.2,,,,,,,,
1616,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1002/jps.2600681213,Homo sapiens,60,,0-180,7.4,Phosphate,0.067,277,Equilibrium dialysis,,Scatchard,130000,,1,,2.50E+03,,2,,,,
1617,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1007/BF00609473,Homo sapiens,30,,0-184.945,7.4,,,310,Equilibrium dialysis,,Lineweaver-Burk,27200,,2.46,,,,,,,,
1618,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1016/0006-2952(76)90365-8,Homo sapiens,75,,,7.4,Phosphate,0.067,310,Dynamic dialysis,,,218600,,2.27,,1.71E+02,,8.21,,,,
1619,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1016/j.jpba.2010.09.003,Homo sapiens,632,,0-200,7.4,Phosphate,0.067,310,Frontal analysis,,,87000,,,,8.10E+03,,,,,,
1620,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1021/bi00027a029,Homo sapiens,130,,0-780,7.4,"Phosphate, 135 mM NaCl, 20 mM K3PO4, 0.1 M ascorbic acid, 0.1 M NaN3",,310,Isothermal titration calorimetry,,,,1.80E-05,2.9,,,,,,,,
1621,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1021/bi00027a029,Homo sapiens,130,,0-780,7.4,TES,,310,Isothermal titration calorimetry,,,,2.10E-05,3,-6,,,,,,,
1622,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1021/jm7012826,Homo sapiens,100,,50,7.4,"Phosphate, 0.75% DMSO",0.068,room,Parallel artificial membrane permeation assay,,,,6.03E-06,,,,,,,BindingDB,CHEMBL782,51036132
1623,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1248/cpb.46.817,Homo sapiens,72.5,,0-40,7,Phosphate,0.1,293,Equilibrium dialysis,,Klotz,2.38E+04,,3,,,,,,,,
1624,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1248/cpb.46.817,Homo sapiens,725,,72.5,7,Phosphate,0.1,293,Equilibrium dialysis,,Klotz,2.38E+04,,3,-11.63,,,,,,,
1625,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1248/cpb.46.817,Homo sapiens,72.5,,0-40,7,Phosphate,0.1,303,Equilibrium dialysis,,Klotz,2.07E+04,,3,-11.63,,,,,,,
1626,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1248/cpb.46.817,Homo sapiens,725,,72.5,7,Phosphate,0.1,303,Equilibrium dialysis,,Klotz,2.07E+04,,3,,,,,,,,
1627,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1248/cpb.46.817,Homo sapiens,72.5,,0-40,7,Phosphate,0.1,313,Equilibrium dialysis,,Klotz,1.76E+04,,3,,,,,,,,
1628,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.1248/cpb.46.817,Homo sapiens,725,,72.5,7,Phosphate,0.1,313,Equilibrium dialysis,,Klotz,1.76E+04,,3,,,,,,,,
1629,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.3390/molecules22122249,Homo sapiens,5,,0-100,7.4,Tris-HCl,,310,Fluorescence spectroscopy,λex 275nm,Hill,,,1.17,,,,,,,,
1630,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.3390/molecules22122249,Homo sapiens,5,,0-100,7.4,Tris-HCl,,310,Fluorescence spectroscopy,λex 275nm,Klotz,2.88E+04,,1.1,,,,,,,,
1631,Tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,JLRGJRBPOGGCBT-UHFFFAOYSA-N,10.3390/molecules22122249,Homo sapiens,5,,0-100,7.4,Tris-HCl,,310,Fluorescence spectroscopy,λex 275nm,Scatchard,2.84E+04,,1.11,,,,,,,,
